Driver ID,First Name,Last Name,Number of Violations,Number of Accidents,Marital Status,Gender,Miles to work,Primary Vehicle Use,Date of Birth
1,Duane,Crance,3,0,M,M,9.0,Work,1952-04-16 00:00:00
2,Sheldon,Sherbert,1,0,S,M,8.0,Leisure,1971-11-15 00:00:00
3,Kristian,Brix,0,0,M,M,40.0,Work,1989-01-13 00:00:00
4,Renea,Kreck,4,2,S,M,4.0,Work,1990-06-07 00:00:00
5,Easter,Mccrossen,0,0,S,F,19.0,Work,1999-05-02 00:00:00
6,Sherita,Riemer,4,1,S,F,14.0,Work,1996-02-10 00:00:00
7,Xiomara,Menino,3,1,M,M,32.0,Work,1991-12-28 00:00:00
8,Tiffaney,Sawrey,1,0,S,F,1.0,Work,1979-05-13 00:00:00
9,Wendell,Yonek,2,0,M,F,15.0,Leisure,1991-02-25 00:00:00
10,Justa,Arritola,1,0,M,M,11.0,Work,1980-09-14 00:00:00
11,Lina,Jowers,4,1,S,M,10.0,Leisure,1986-10-28 00:00:00
12,Phillip,Novik,6,4,S,M,37.0,Work,1976-12-05 00:00:00
13,Marget,Tandus,1,1,M,M,8.0,Leisure,1986-08-10 00:00:00
14,Tammara,Swimm,1,1,M,M,,Leisure, 
15,Gina,Creek,6,3,S,F,,Work, 
16,Linette,Rosmarinus,1,1,S,M,6.0,Work,1997-06-29 00:00:00
17,Phillip,Huddleston,0,0,M,F,22.0,Work,1987-03-04 00:00:00
18,Byron,Cauley,3,0,M,M,12.0,Leisure,1988-10-17 00:00:00
19,Mayme,Mettee,4,0,D,M,20.0,Work,1941-11-03 00:00:00
20,Norah,Heathman,4,0,M,M,36.0,Work,1969-01-13 00:00:00
21,Berta,Grieser,3,0,M,M,28.0,Work,1968-01-14 00:00:00
22,Yuko,Mcmanamon,0,1,S,M,30.0,Work,1979-05-24 00:00:00
23,Marcell,Ramsfield,5,0,S,M,14.0,Work,1981-10-14 00:00:00
24,Kiersten,Schmelzer,0,2,S,F,34.0,Leisure,1974-03-03 00:00:00
25,Evelyn,Shelburn,5,2,M,M,36.0,Leisure,1974-01-07 00:00:00
26,Paris,Aye,2,0,M,M,22.0,Work,1964-05-10 00:00:00
27,Tanya,Costellowo,5,0,S,F,21.0,Work,1964-05-16 00:00:00
28,Letitia,Starwalt,3,1,S,F,40.0,Work,1970-07-07 00:00:00
29,Consuela,Fils,5,0,S,F,38.0,Work,1967-08-18 00:00:00
30,Lacie,Loescher,3,1,S,M,18.0,Work,1996-12-10 00:00:00
31,Isabelle,Walburn,2,0,M,M,3.0,Work,1959-03-12 00:00:00
32,Grover,Silovich,4,0,M,M,26.0,Leisure,1983-09-18 00:00:00
33,Chantal,Tacconi,5,0,M,F,32.0,Work,1978-12-01 00:00:00
34,Abel,Baloy,2,0,S,F,2.0,Leisure,1994-11-20 00:00:00
35,Adelina,Tarzia,0,0,S,M,27.0,Leisure,1984-05-20 00:00:00
36,Dotty,Suydam,1,0,S,M,27.0,Work,1996-12-17 00:00:00
37,Sondra,Arauz,1,0,S,F,37.0,Leisure,1984-08-17 00:00:00
38,Peg,Tuxbury,5,0,S,M,4.0,Work,1988-04-19 00:00:00
39,Kymberly,Neiman,2,0,S,F,3.0,Leisure,1988-11-27 00:00:00
40,Jannie,Strahl,2,0,D,M,33.0,Work,1973-11-25 00:00:00
41,Jayna,Hierro,2,0,S,M,12.0,Work,1998-04-11 00:00:00
42,Debbie,Mcnear,6,1,S,M,33.0,Work,1988-06-07 00:00:00
43,Celestine,Pick,1,0,M,M,14.0,Work,1946-07-31 00:00:00
44,Lucio,Gebel,5,3,M,M,5.0,Work,1984-01-22 00:00:00
45,Joe,Joas,3,1,S,M,35.0,Work,1983-01-19 00:00:00
46,Kyle,Boykin,3,0,M,M,13.0,Work,1969-08-06 00:00:00
47,Lucilla,Tables,1,1,M,F,40.0,Leisure,1978-05-21 00:00:00
48,Hilde,Hagger,2,0,M,F,6.0,Work,1963-10-07 00:00:00
49,Jaqueline,Hackl,0,0,D,M,33.0,Leisure,1986-07-02 00:00:00
50,Delmy,Columbus,2,0,S,M,3.0,Work,1993-02-28 00:00:00
51,Esta,Polite,0,0,S,M,27.0,Leisure,1995-08-23 00:00:00
52,Norine,Alderete,1,0,M,M,14.0,Leisure,1968-01-23 00:00:00
53,Jodie,Hubley,0,0,S,M,9.0,Work,1972-03-20 00:00:00
54,Ginger,Pilapil,2,0,D,M,39.0,Leisure,1977-02-03 00:00:00
55,Anisa,Rumery,4,0,M,F,2.0,Leisure,1993-05-23 00:00:00
56,Cristi,Wassink,6,0,M,F,11.0,Work,1993-09-07 00:00:00
57,Domitila,Arbour,0,0,S,M,33.0,Leisure,1960-07-13 00:00:00
58,Candida,Kranze,4,2,S,M,13.0,Work,1992-04-10 00:00:00
59,Shawanda,Norskog,5,1,D,F,31.0,Work,1983-10-24 00:00:00
60,Hermila,Maher,2,0,M,M,39.0,Leisure,1983-01-21 00:00:00
61,Leonora,Ostenson,3,1,S,M,3.0,Work,1990-07-05 00:00:00
62,Maryam,Hanken,3,0,M,F,32.0,Work,1988-06-16 00:00:00
63,Delfina,Tinsley,2,0,S,M,27.0,Leisure,1981-11-08 00:00:00
64,Leslie,Egel,5,2,M,M,15.0,Work,1974-08-07 00:00:00
65,Cathrine,Ashe,4,0,S,F,8.0,Work,1974-08-20 00:00:00
66,Julian,Salz,0,0,D,F,12.0,Work,1969-02-01 00:00:00
67,Shawnda,Pierotti,2,0,D,M,38.0,Work,1963-12-08 00:00:00
68,Alvina,Caston,4,2,S,M,22.0,Work,1984-07-29 00:00:00
69,Daron,Lenski,3,0,S,M,16.0,Work,1967-11-13 00:00:00
70,Adelle,Apela,2,0,M,M,6.0,Leisure,1952-11-24 00:00:00
71,Tamiko,Figgeurs,1,0,M,M,34.0,Leisure,1953-03-15 00:00:00
72,Marlen,Ingles,3,1,M,M,18.0,Work,1980-02-25 00:00:00
73,Merle,Lieberman,2,0,S,M,34.0,Leisure,1992-01-28 00:00:00
74,Gerda,Sortland,0,0,M,M,34.0,Leisure,1979-07-04 00:00:00
75,Justine,Eduardo,3,1,S,M,15.0,Work,1986-08-17 00:00:00
76,Jesse,Calvino,4,0,M,F,5.0,Leisure,1970-01-09 00:00:00
77,Shandi,Chawla,2,0,M,F,29.0,Work,1981-12-19 00:00:00
78,Madie,Andree,0,0,D,F,11.0,Work,1950-12-22 00:00:00
79,Quiana,Straface,3,0,M,M,18.0,Leisure,1992-08-25 00:00:00
80,Dallas,Weyer,3,0,S,M,11.0,Work,1999-08-29 00:00:00
81,Bridgett,Cocran,3,0,S,M,28.0,Work,1981-01-26 00:00:00
82,Myrtice,Marciniak,0,0,S,F,11.0,Leisure,1951-03-11 00:00:00
83,Enoch,Mckeel,2,0,D,F,39.0,Work,1977-09-30 00:00:00
84,Austin,Mihovk,3,0,D,M,39.0,Work,1986-10-31 00:00:00
85,Florinda,Grew,4,0,S,M,11.0,Work,1984-06-13 00:00:00
86,Miki,Kubik,2,0,M,M,7.0,Work,1984-10-10 00:00:00
87,Dorotha,Malan,2,0,S,M,3.0,Work,1997-12-27 00:00:00
88,Delcie,Hermenegildo,1,0,M,M,3.0,Work,1961-08-31 00:00:00
89,Garry,Pomfret,0,0,S,M,9.0,Work,1999-06-28 00:00:00
90,Efrain,Kight,5,3,M,M,10.0,Work,1988-06-22 00:00:00
91,Shayna,Pharis,2,0,M,M,38.0,Leisure,1969-02-01 00:00:00
92,Janell,Caisse,3,0,M,F,2.0,Work,1961-03-10 00:00:00
93,Rosalie,Eisenbeisz,2,0,M,M,14.0,Work,1971-07-02 00:00:00
94,Nada,Esser,2,0,S,M,21.0,Leisure,1997-09-02 00:00:00
95,Rosalva,Kaszton,4,0,M,M,17.0,Work,1966-03-15 00:00:00
96,Soila,Belue,4,0,S,F,13.0,Work,1986-03-22 00:00:00
97,Robbie,Berray,2,0,S,M,24.0,Work,1990-12-02 00:00:00
98,Tobias,Konecny,3,0,M,F,8.0,Work,1959-09-26 00:00:00
99,Emmaline,Weymouth,1,0,M,M,2.0,Leisure,1991-08-06 00:00:00
100,Carlo,Cowart,0,0,S,M,24.0,Leisure,1951-08-02 00:00:00
